id,適用日,職種,都道府県,労務単価
13,2015/02/01,ブロック工,福島県,
14,2015/02/01,電工,福島県,18000
15,2015/02/01,鉄筋工,福島県,22700
16,2015/02/01,鉄骨工,福島県,20300
17,2015/02/01,塗装工,福島県,21700
18,2015/02/01,溶接工,福島県,21700
19,2015/02/01,運転手（特殊）,福島県,19600
20,2015/02/01,運転手（一般）,福島県,17600
21,2015/02/01,潜かん工,福島県,28800
22,2015/02/01,潜かん世話役,福島県,34000
23,2015/02/01,さく岩工,福島県,23800
24,2015/02/01,トンネル特殊工,福島県,28000
25,2015/02/01,トンネル作業員,福島県,21900
26,2015/02/01,トンネル世話役,福島県,30800
27,2015/02/01,橋りょう特殊工,福島県,25200
28,2015/02/01,橋りょう塗装工,福島県,27100
29,2015/02/01,橋りょう世話役,福島県,30900
30,2015/02/01,土木一般世話役,福島県,20400
31,2015/02/01,高級船員,福島県,24300
32,2015/02/01,普通船員,福島県,19900
33,2015/02/01,潜水士,福島県,40700
34,2015/02/01,潜水連絡員,福島県,25200
35,2015/02/01,潜水送気員,福島県,25700
36,2015/02/01,山林砂防工,福島県,
37,2015/02/01,軌道工,福島県,31600
38,2015/02/01,型わく工,福島県,20800
39,2015/02/01,大工,福島県,23100
40,2015/02/01,左官,福島県,21700
41,2015/02/01,配管工,福島県,18700
42,2015/02/01,はつり工,福島県,20100
43,2015/02/01,防水工,福島県,21500
44,2015/02/01,板金工,福島県,21200
45,2015/02/01,タイル工,福島県,19600
46,2015/02/01,サッシ工,福島県,22500
47,2015/02/01,内装工,福島県,21500
48,2015/02/01,ガラス工,福島県,19100
49,2015/02/01,建具工,福島県,16400
50,2015/02/01,ダクト工,福島県,17300
51,2015/02/01,保温工,福島県,18800
52,2015/02/01,設備機械工,福島県,17900
53,2015/02/01,交通誘導警備員A,福島県,12200
54,2015/02/01,交通誘導警備員B,福島県,10500
7,2015/02/01,特殊作業員,茨城県,19400
8,2015/02/01,普通作業員,茨城県,17200
9,2015/02/01,軽作業員,茨城県,12600
10,2015/02/01,造園工,茨城県,19400
11,2015/02/01,法面工,茨城県,21900
12,2015/02/01,とび工,茨城県,23100
13,2015/02/01,石工,茨城県,24500
14,2015/02/01,ブロック工,茨城県,22700
15,2015/02/01,電工,茨城県,19200
16,2015/02/01,鉄筋工,茨城県,22800
17,2015/02/01,鉄骨工,茨城県,21300
18,2015/02/01,塗装工,茨城県,22600
19,2015/02/01,溶接工,茨城県,25500
20,2015/02/01,運転手（特殊）,茨城県,21000
21,2015/02/01,運転手（一般）,茨城県,17300
22,2015/02/01,潜かん工,茨城県,26600
23,2015/02/01,潜かん世話役,茨城県,31600
24,2015/02/01,さく岩工,茨城県,24500
25,2015/02/01,トンネル特殊工,茨城県,25800
26,2015/02/01,トンネル作業員,茨城県,21900
27,2015/02/01,トンネル世話役,茨城県,28800
28,2015/02/01,橋りょう特殊工,茨城県,26900
29,2015/02/01,橋りょう塗装工,茨城県,28000
30,2015/02/01,橋りょう世話役,茨城県,30100
31,2015/02/01,土木一般世話役,茨城県,21800
32,2015/02/01,高級船員,茨城県,28900
33,2015/02/01,普通船員,茨城県,21700
34,2015/02/01,潜水士,茨城県,34300
35,2015/02/01,潜水連絡員,茨城県,22000
36,2015/02/01,潜水送気員,茨城県,24000
37,2015/02/01,山林砂防工,茨城県,25500
38,2015/02/01,軌道工,茨城県,41000
39,2015/02/01,型わく工,茨城県,22500
40,2015/02/01,大工,茨城県,23400
41,2015/02/01,左官,茨城県,24000
42,2015/02/01,配管工,茨城県,20200
43,2015/02/01,はつり工,茨城県,22600
44,2015/02/01,防水工,茨城県,24200
45,2015/02/01,板金工,茨城県,24200
46,2015/02/01,タイル工,茨城県,
47,2015/02/01,サッシ工,茨城県,23200
48,2015/02/01,内装工,茨城県,25000
49,2015/02/01,ガラス工,茨城県,22400
50,2015/02/01,建具工,茨城県,21800
51,2015/02/01,ダクト工,茨城県,20200
52,2015/02/01,保温工,茨城県,20800
