id,開始日,終了日,職種,都道府県,労務単価
270,2015-02-01,2016-01-31,高級船員,山形県,24300
271,2015-02-01,2016-01-31,普通船員,山形県,19900
272,2015-02-01,2016-01-31,潜水士,山形県,38800
273,2015-02-01,2016-01-31,潜水連絡員,山形県,23900
274,2015-02-01,2016-01-31,潜水送気員,山形県,24300
275,2015-02-01,2016-01-31,山林砂防工,山形県,
276,2015-02-01,2016-01-31,軌道工,山形県,23700
277,2015-02-01,2016-01-31,型わく工,山形県,21200
278,2015-02-01,2016-01-31,大工,山形県,19800
279,2015-02-01,2016-01-31,左官,山形県,20600
280,2015-02-01,2016-01-31,配管工,山形県,18300
281,2015-02-01,2016-01-31,はつり工,山形県,19200
282,2015-02-01,2016-01-31,防水工,山形県,20800
283,2015-02-01,2016-01-31,板金工,山形県,19800
284,2015-02-01,2016-01-31,タイル工,山形県,18800
285,2015-02-01,2016-01-31,サッシ工,山形県,20900
286,2015-02-01,2016-01-31,内装工,山形県,20000
287,2015-02-01,2016-01-31,ガラス工,山形県,18300
288,2015-02-01,2016-01-31,建具工,山形県,15600
289,2015-02-01,2016-01-31,ダクト工,山形県,17600
290,2015-02-01,2016-01-31,保温工,山形県,18900
291,2015-02-01,2016-01-31,設備機械工,山形県,17900
292,2015-02-01,2016-01-31,交通誘導警備員A,山形県,11400
293,2015-02-01,2016-01-31,交通誘導警備員B,山形県,9800
294,2015-02-01,2016-01-31,特殊作業員,福島県,21000
295,2015-02-01,2016-01-31,普通作業員,福島県,16300
296,2015-02-01,2016-01-31,軽作業員,福島県,14000
297,2015-02-01,2016-01-31,造園工,福島県,18300
298,2015-02-01,2016-01-31,法面工,福島県,23100
299,2015-02-01,2016-01-31,とび工,福島県,21700
300,2015-02-01,2016-01-31,石工,福島県,
301,2015-02-01,2016-01-31,ブロック工,福島県,
302,2015-02-01,2016-01-31,電工,福島県,18000
303,2015-02-01,2016-01-31,鉄筋工,福島県,22700
304,2015-02-01,2016-01-31,鉄骨工,福島県,20300
305,2015-02-01,2016-01-31,塗装工,福島県,21700
306,2015-02-01,2016-01-31,溶接工,福島県,21700
307,2015-02-01,2016-01-31,運転手（特殊）,福島県,19600
308,2015-02-01,2016-01-31,運転手（一般）,福島県,17600
309,2015-02-01,2016-01-31,潜かん工,福島県,28800
310,2015-02-01,2016-01-31,潜かん世話役,福島県,34000
311,2015-02-01,2016-01-31,さく岩工,福島県,23800
312,2015-02-01,2016-01-31,トンネル特殊工,福島県,28000
313,2015-02-01,2016-01-31,トンネル作業員,福島県,21900
314,2015-02-01,2016-01-31,トンネル世話役,福島県,30800
315,2015-02-01,2016-01-31,橋りょう特殊工,福島県,25200
316,2015-02-01,2016-01-31,橋りょう塗装工,福島県,27100
317,2015-02-01,2016-01-31,橋りょう世話役,福島県,30900
318,2015-02-01,2016-01-31,土木一般世話役,福島県,20400
319,2015-02-01,2016-01-31,高級船員,福島県,24300
320,2015-02-01,2016-01-31,普通船員,福島県,19900
321,2015-02-01,2016-01-31,潜水士,福島県,40700
322,2015-02-01,2016-01-31,潜水連絡員,福島県,25200
323,2015-02-01,2016-01-31,潜水送気員,福島県,25700
324,2015-02-01,2016-01-31,山林砂防工,福島県,
325,2015-02-01,2016-01-31,軌道工,福島県,31600
326,2015-02-01,2016-01-31,型わく工,福島県,20800
327,2015-02-01,2016-01-31,大工,福島県,23100
